party_A,handicapped_infants,water_project_cost_sharing,adoption_of_bufget_resolution,physician_fee_freeze,el_salvador_aid,religious_group_in_schools,anti_satellite_test_ban,nicaragua_aid,mx_missile,immigration,syn_coorp_cutback,education_spending,superfund_right_to_sue,crime,duty_free_exports,export_act_sa
1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1
1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0
1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1
1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1
1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
